shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
dfd89112-4c60-4462-821d-6102e5c0ee1a,44.3373765898466,-79.7197201387304,149,15844.73
d6c3ef6a-9b88-4156-b683-2b209ceb83b1,44.3905154093679,-79.6865896050159,81,7406.43
9170efc9-6722-4a0c-ab51-1c0c0cce06bb,44.4004313325804,-79.6998863682358,140,13233.04
d9134dc3-c009-4854-a90b-ed9ee2c505bf,44.3352026421769,-79.7192182612288,83,7716.08
dfd89112-4c60-4462-821d-6102e5c0ee1a,44.330961813388,-79.7253605559683,160,16780.51
afbfa417-e291-4d8c-b786-9bde91c721a0,44.33349211,-79.72085917,91,13421
0b207682-7778-4958-a780-fdcbc9e02ba7,44.332571945051,-79.6970282074653,136,12608.64
d9134dc3-c009-4854-a90b-ed9ee2c505bf,44.3856653140433,-79.6915828981795,5,299.47
bcee9585-8175-4234-908d-b8da423a6202,44.372957,-79.697584,115,14658.75
98ed568c-5eba-46aa-a22d-f8bc07b6f0c4,44.3870615593828,-79.7203180027198,188,14530.51
8b413dfb-4f30-4f82-977f-eaa13057a5d3,44.3410775837921,-79.6799988198991,4,83.36
8b413dfb-4f30-4f82-977f-eaa13057a5d3,44.34123342,-79.72988353,63,8676.72
a3bf91dc-b99a-4c7d-a477-713a13e7153f,44.4119755444111,-79.703502022981,154,9424.38
1b47bde0-4d1d-4794-bfcb-65b91be20ca9,44.364159556522,-79.6992510646712,38,5940.22
8b413dfb-4f30-4f82-977f-eaa13057a5d3,44.4013740655331,-79.6861588659171,135,19749.44
7e250ed0-2659-4a7b-8bad-c91367e9291c,44.3887321486605,-79.6913902261916,35,5157.73
db3414d7-3d13-4595-8456-beb9157f3f7a,44.3914228315009,-79.6768782840299,124,13466.29
afbfa417-e291-4d8c-b786-9bde91c721a0,44.3248477175741,-79.728992267191,81,12011.14
d9134dc3-c009-4854-a90b-ed9ee2c505bf,44.3471457828718,-79.6696467722292,165,16204.69
2540d374-8e20-4296-a37c-9a127daa37bb,44.3746120998448,-79.6904526848372,83,15335.33
6933948c-3207-482d-becf-3eb5710e1c5c,44.3816734626959,-79.6905928953302,14,953.46
9170efc9-6722-4a0c-ab51-1c0c0cce06bb,44.3975852861742,-79.6564610322817,24,3292.58
c244e423-dfe4-4d0b-857a-3a15342eb75b,44.3422876726886,-79.6626785657262,36,3571.23
5f078fa5-240f-4aec-891c-957dc258acef,44.3548820392634,-79.699405441838,82,10919.21
dfd89112-4c60-4462-821d-6102e5c0ee1a,44.3224839444191,-79.7215693710137,185,19273.89
42006b6d-c6b6-43c4-ae1d-a3e0c93f4b76,44.4072974435022,-79.6853905426882,114,9021.4
3bfee775-ec07-4248-a65d-99a1b290e29e,44.414484,-79.663549,78,7318.09
bcee9585-8175-4234-908d-b8da423a6202,44.3742508136505,-79.689863297202,128,15528.63
0b207682-7778-4958-a780-fdcbc9e02ba7,44.3662482338102,-79.7134898724754,86,8113.49
3ae649a7-dd18-4022-ae2f-5ef19267777c,44.3426580555771,-79.6627995625698,23,3618.32
c244e423-dfe4-4d0b-857a-3a15342eb75b,44.3494095173077,-79.6675319760582,48,4726.81
f6f2521e-ca13-4e6f-b79a-a4c1af02136b,44.3738857044403,-79.688976130766,143,10094.97
b3c07c3b-f794-479c-84a7-dafa8e48b388,44.3605481671315,-79.6552786055861,57,4008.86
98ed568c-5eba-46aa-a22d-f8bc07b6f0c4,44.41661353,-79.67614223,66,5964.69
1b47bde0-4d1d-4794-bfcb-65b91be20ca9,44.38868459452,-79.7064265214686,48,9082.47
3663e74c-e6a9-4f15-94c5-a7c75caa0d7a,44.3613988030773,-79.6279683942535,161,17338.98
7bcda362-898c-4118-9056-698444ba7e5d,44.4165800586938,-79.6590202467693,84,8505.7
d6c3ef6a-9b88-4156-b683-2b209ceb83b1,44.4149751845259,-79.6670365494661,13,427.16
a3bf91dc-b99a-4c7d-a477-713a13e7153f,44.3908798881413,-79.6986619739476,8,852.65
50e981a6-4354-4d9b-9b39-d7a5e68495fc,44.3542058380965,-79.6993203281951,73,10354.23
1b47bde0-4d1d-4794-bfcb-65b91be20ca9,44.3473157534086,-79.691495956464,15,2172.16
a3bf91dc-b99a-4c7d-a477-713a13e7153f,44.3859330819104,-79.7212418753075,63,3822.94
8b413dfb-4f30-4f82-977f-eaa13057a5d3,44.3390834695897,-79.7088178394267,50,6885.9
f6f2521e-ca13-4e6f-b79a-a4c1af02136b,44.3906580771947,-79.6912671327007,107,7768.01
7bcda362-898c-4118-9056-698444ba7e5d,44.3799051603174,-79.6904133805147,8,756.35
d6c3ef6a-9b88-4156-b683-2b209ceb83b1,44.3945371500601,-79.6587288430644,55,5052.24
abee7511-621c-42c0-a026-1b7bf0fffd78,44.4100089152123,-79.673891523654,0,0
42006b6d-c6b6-43c4-ae1d-a3e0c93f4b76,44.4041629595011,-79.7061161734832,47,5278.31
98ed568c-5eba-46aa-a22d-f8bc07b6f0c4,44.3831178521356,-79.7159575570038,211,15422.96
3ae649a7-dd18-4022-ae2f-5ef19267777c,44.401246237747,-79.6558072550234,297,26674.22
3663e74c-e6a9-4f15-94c5-a7c75caa0d7a,44.3907406864238,-79.6928927699376,26,3215.48
3ae649a7-dd18-4022-ae2f-5ef19267777c,44.3277163268364,-79.7333161576187,98,12616.69
7c643bdc-a36e-4feb-be5b-28168758ceaf,44.4110703637922,-79.6737782754323,33,898.14
3ae649a7-dd18-4022-ae2f-5ef19267777c,44.3515895997433,-79.6998450434234,150,17235.15
f6f2521e-ca13-4e6f-b79a-a4c1af02136b,44.3952640230256,-79.6621419171268,77,5316.08
42006b6d-c6b6-43c4-ae1d-a3e0c93f4b76,44.4031829776277,-79.7077183251213,44,5104.7
