route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
7A,8f9838c0-bc19-455c-ae8e-5463323587b3,62c26d2b-6d38-410a-8f99-b9a775e84960,8b413dfb-4f30-4f82-977f-eaa13057a5d3,GROVE to Georgian College,0,6bfcc5a2-fced-4143-b920-e7da2861f43e
8A,44a51a1e-1453-4359-ae8c-348b0cf039d8,98238718-ac37-49ee-b77e-d6a4057b71d8,7c643bdc-a36e-4feb-be5b-28168758ceaf,RVH/YONGE to Park Place,1,df5bae38-d741-411a-ab9f-c38c6f221acc
2B,8f9838c0-bc19-455c-ae8e-5463323587b3,9fe57921-6c5b-4481-b036-d1404eb0239b,0b207682-7778-4958-a780-fdcbc9e02ba7,PARK PLACE to Park Place,0,5f00f452-ef48-4a22-bf79-c8870ae09522
8B,44a51a1e-1453-4359-ae8c-348b0cf039d8,5e04efbc-4918-4874-a874-adb46f51a0bc,f6f2521e-ca13-4e6f-b79a-a4c1af02136b,Crosstown/Essa to Park Place ,1,70172812-d66b-4118-9469-e073e5cdeb93
400,44a51a1e-1453-4359-ae8c-348b0cf039d8,403c9c5b-9c78-4663-bf33-767552261cd0,1b47bde0-4d1d-4794-bfcb-65b91be20ca9,EXPRESS  to RVH,0,02195af1-2e6e-421d-a108-6a4d3dae8a1b
2B,44a51a1e-1453-4359-ae8c-348b0cf039d8,659c622b-5cd4-4831-a63c-6a027d61d495,0b207682-7778-4958-a780-fdcbc9e02ba7,PARK PLACE to Park Place,0,7a9dc9bb-725d-4d57-820a-8e1cc6cd02ea
11,44a51a1e-1453-4359-ae8c-348b0cf039d8,40075c42-ebb1-4002-8f4e-e06e4d0582fa,98ed568c-5eba-46aa-a22d-f8bc07b6f0c4,NORTH LOOP to Downtown Barrie Terminal,0,87745fc2-4275-4729-ab78-993fb08ffe77
400,44a51a1e-1453-4359-ae8c-348b0cf039d8,e02b2936-b344-4c52-937f-bf3a0531fbb2,1b47bde0-4d1d-4794-bfcb-65b91be20ca9,EXPRESS  to RVH,0,b0943396-8fae-4970-88f6-1794300c15e7
11,44a51a1e-1453-4359-ae8c-348b0cf039d8,bb01d191-88ae-4028-99db-20f535e9cc70,98ed568c-5eba-46aa-a22d-f8bc07b6f0c4,NORTH LOOP to Downtown Barrie Terminal,0,4c0f915d-4bb8-4162-8a22-721342be5f4f
8B,3deb4186-b7cd-4e38-9ec5-a3fdf52e0157,f97517dd-784e-422e-8198-070c54596bef,4f73e307-25ce-435e-a612-8e77f60478ed,Crosstown/Essa to Georgian College ,0,cde311c7-2fe1-466b-b1d6-8b0aacfc98c1
7B,44a51a1e-1453-4359-ae8c-348b0cf039d8,864089a1-fcb8-4eeb-9ce0-2af718de8a01,8668f823-571f-4aec-b96a-a1afe5590646,BEAR CREEK to Park Place,0,6852eb86-788f-4df7-aea2-a013e44e9686
101,9ee6fb54-fe95-4ae5-aec0-752c0780cffd,022fa66a-b0e2-4735-8844-add80be40b08,9170efc9-6722-4a0c-ab51-1c0c0cce06bb,Blue,0,07a4c1a1-b3de-4a70-800b-c8d5da7ab0d9
8B,44a51a1e-1453-4359-ae8c-348b0cf039d8,3ce23792-fa7f-48dd-bdd6-5776225bc86e,b02a2607-bef0-41ac-b7d5-5debe45ec83c,Crosstown/Essa to Georgian College ,0,70172812-d66b-4118-9469-e073e5cdeb93
